Team,Player,Pos,Age,Status,Notes / Free-Agency,Salary 2026-27,Salary 2027-28,Salary 2028-29,Salary 2029-30,Salary 2030-31,Option 2026-27,Option 2027-28,Option 2028-29,Option 2029-30,Option 2030-31,Total 5yr,Years Under Contract
Atlanta Hawks,Jalen Johnson,SF,24,Active,UFA / $45.0M,30000000,30000000,30000000,30000000,,,,,,,120000000,4
Atlanta Hawks,Dyson Daniels,PG,23,Active,UFA / $37.5M,25000000,25000000,25000000,25000000,,,,,,,100000000,4
Atlanta Hawks,C.J. McCollum,SG,34,Active,Trade Kicker: 7.5%,21000000,,,,,,,,,,21000000,1
Atlanta Hawks,Luguentz Dort,SG,27,Active,UFA / $27.3M,17722222,,,,,Team Option,,,,,17722222,1
Atlanta Hawks,Onyeka Okongwu,C,25,Active,UFA / $25.3M,16120000,16880000,,,,,,,,,33000000,2
Atlanta Hawks,Nickeil Alexander-Walker,SG,27,Active,Trade Kicker: 7.5%,14403710,15161800,15919890,,,,,Player Option,,,45485400,3
Atlanta Hawks,Jock Landale,C,30,Active,UFA / $18.2M,14100000,,,,,,,,,,14100000,1
Atlanta Hawks,Corey Kispert,SF,27,Active,UFA / $24.7M,13975000,13025000,13025000,,,,,Team Option,,,40025000,3
Atlanta Hawks,Buddy Hield,SG,33,Active,UFA / $19.2M,9658536,10097560,,,,,Player Option,,,,19756096,2
Atlanta Hawks,Aaron Wiggins,SG,27,Active,UFA / $15.9M,8831776,7990655,7990665,,,,,Team Option,,,24813096,3
Atlanta Hawks,Kingston Flemings,PG,19,Active,RFA / $25.7M,7348680,7716120,8083680,10282440,,,,Team Option,Team Option,,33430920,4
Atlanta Hawks,Devin Carter,PG,24,Active,RFA / $22.1M,5158080,7370897,,,,,Team Option,,,,12528977,2
Atlanta Hawks,Zuby Ejiofor,C,22,Active,RFA / $16.1M,3453360,3626160,3798360,6445800,,,,Team Option,Team Option,,17323680,4
Atlanta Hawks,Asa Newell,PF,20,Active,RFA / $18.1M,3399480,3560880,6042814,,,,Team Option,Team Option,,,13003174,3
Atlanta Hawks,Mouhamed Gueye,PF,23,Active,UFA / $3.0M,2406205,,,,,Team Option,,,,,2406205,1
Atlanta Hawks,Ryan Nembhard,PG,23,Active,RFA / $2.9M,2150917,,,,,Team Option,,,,,2150917,1
Atlanta Hawks,Henri Veesaar,C,22,Active,UFA / $2.9M,1357763,2294370,2694363,2918152,,,,,,,9264648,4
Boston Celtics,Jayson Tatum,PF,28,Active,UFA / $73.7M,58456566,62786682,67116798,71446914,,,,,Player Option,,259806960,4
Boston Celtics,Paul George,SG,36,Active,UFA / $63.9M,54126380,56586670,,,,,Player Option,,,,110713050,2
Boston Celtics,Derrick White,PG,32,Active,Trade Kicker: 15%,30348000,32596000,34844000,,,,,Player Option,,,97788000,3
Boston Celtics,Mitchell Robinson,C,28,Active,UFA / $31.4M,15044000,15796200,16548400,,,,,,,,47388600,3
Boston Celtics,Sam Hauser,SF,28,Active,UFA / $22.1 M,10848215,11651785,12455356,,,,,,,,34955356,3
Boston Celtics,Payton Pritchard,PG,28,Active,UFA / $15.8 M,7767857,8303571,,,,,,,,,16071428,2
Boston Celtics,Ron Harper Jr.,SG,26,Active,UFA / $7.2M,3150752,3308290,3465828,3779359,,Team Option,,,,,13704229,4
Boston Celtics,Chris Cenac Jr,PF,19,Active,RFA / $14.8M,2988120,3137640,3287400,5930520,,,,Team Option,Team Option,,15343680,4
Boston Celtics,Hugo González,SF,20,Active,RFA / $16.6 M,2923560,3062640,5528065,,,,Team Option,Team Option,,,11514265,3
Boston Celtics,Luka Garza,C,27,Active,UFA / $2.6 M,2801346,,,,,,,,,,2801346,1
Boston Celtics,Baylor Scheierman,SG,25,Active,RFA / $14.9M,2744040,4952993,,,,,Team Option,,,,7697033,2
Boston Celtics,Neemias Queta,C,26,Active,UFA / $23.5M,2667944,12500000,13500000,14500000,15500000,Team Option,,,,,58667944,5
Boston Celtics,Mike Conley,PG,38,Active,UFA / $2.6M,2449421,,,,,,,,,,2449421,1
Boston Celtics,Jordan Walsh,SF,22,Active,UFA / $10.2M,2406205,5000000,5250000,5500000,,Team Option,,,,,18156205,4
Brooklyn Nets,Michael Porter Jr.,SF,28,Active,UFA / $42.7M,40806150,,,,,,,,,,40806150,1
Brooklyn Nets,Julius Randle,PF,31,Active,UFA / $53.7M,33333334,35802468,,,,,Player Option,,,,69135802,2
Brooklyn Nets,Terance Mann,SG,29,Active,UFA / $24.0M,15500000,16000000,,,,,,,,,31500000,2
