#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
1,Nikola Jokic,Denver Nuggets,C-F,+7,+5,+2,+5,+7,31.7,95.1,31.2,11.4,53.4%,33.9%,79.1%,$101.4M,$55.2M,+$46.2M
2,Victor Wembanyama,San Antonio Spurs,F-C,+6,+4,+2,+6,+6,35.0,94.3,35.0,4.2,49.2%,33.9%,82.7%,$82.8M,$13.4M,+$69.4M
3,Kawhi Leonard,Los Angeles Clippers,F,+6,+5,+0,+6,+6,31.0,94.1,34.3,4.5,47.0%,36.4%,84.3%,$73.2M,$50.0M,+$23.2M
4,Shai Gilgeous-Alexander,Oklahoma City Thunder,G,+6,+5,+1,+5,+6,30.0,94.9,35.2,8.7,49.9%,35.1%,82.9%,$82.5M,$38.3M,+$44.2M
5,Giannis Antetokounmpo,Milwaukee Bucks,F-G,+5,+3,+1,+4,+5,25.0,94.6,35.5,7.9,55.9%,27.3%,55.4%,$36.8M,$54.1M,-$17.3M
6,Luka Doncic,Los Angeles Lakers,G,+4,+4,-0,+3,+5,31.6,95.8,38.5,10.1,43.6%,33.0%,71.3%,$43.7M,$46.0M,-$2.3M
7,Donovan Mitchell,Cleveland Cavaliers,G,+4,+5,-1,+2,+4,25.5,95.6,33.2,5.2,43.7%,34.0%,80.6%,$66.2M,$46.4M,+$19.8M
8,Cade Cunningham,Detroit Pistons,G,+4,+3,+0,+2,+4,27.2,94.6,29.0,10.0,42.6%,34.1%,79.8%,$69.7M,$46.4M,+$23.3M
9,OG Anunoby,New York Knicks,F,+4,+2,+2,+3,+4,34.0,95.5,22.2,2.3,44.2%,38.2%,81.4%,$54.7M,$39.6M,+$15.2M
10,Anthony Edwards,Minnesota Timberwolves,G,+4,+4,-1,+3,+4,27.2,96.0,32.0,4.3,44.5%,35.0%,77.4%,$65.7M,$45.6M,+$20.2M
11,Karl-Anthony Towns,New York Knicks,C-F,+4,+2,+1,+3,+4,31.9,94.7,26.3,6.0,47.3%,36.1%,83.2%,$52.8M,$53.1M,-$0.3M
12,Jalen Brunson,New York Knicks,G,+3,+4,-1,+2,+4,37.8,96.0,33.4,8.1,43.2%,35.4%,82.8%,$59.1M,$34.9M,+$24.2M
13,Chet Holmgren,Oklahoma City Thunder,C-F,+3,+1,+2,+2,+4,21.1,93.0,21.9,2.1,53.0%,33.5%,76.2%,$52.9M,$13.7M,+$39.2M
14,Kevin Durant,Houston Rockets,F-G,+3,+3,+0,+3,+3,28.4,94.5,31.9,6.8,47.2%,37.4%,84.6%,$48.5M,$54.7M,-$6.3M
15,Jayson Tatum,Boston Celtics,F,+3,+3,-0,+3,+3,28.6,94.0,32.3,8.0,42.4%,33.2%,80.2%,$57.0M,$54.1M,+$2.9M
16,Mitchell Robinson,New York Knicks,C,+3,+0,+3,+2,+3,12.8,94.9,14.1,1.1,62.7%,10.0%,46.3%,$17.5M,$13.0M,+$4.5M
17,Scottie Barnes,Toronto Raptors,F,+3,+1,+1,+3,+3,25.4,94.3,25.2,8.6,47.5%,32.2%,77.0%,$54.5M,$38.7M,+$15.8M
18,LaMelo Ball,Charlotte Hornets,G,+3,+3,-1,+2,+3,27.9,93.9,33.0,10.0,39.3%,34.2%,85.7%,$46.5M,$38.0M,+$8.5M
19,Jamal Murray,Denver Nuggets,G,+3,+3,-1,+2,+3,32.2,94.2,29.1,7.3,44.1%,37.4%,87.2%,$57.8M,$46.4M,+$11.4M
20,Jarrett Allen,Cleveland Cavaliers,C,+3,+1,+2,+1,+3,19.9,94.8,21.7,2.3,63.0%,25.6%,65.0%,$44.7M,$20.0M,+$24.7M
21,Joel Embiid,Philadelphia 76ers,C-F,+2,+2,+1,+3,+2,24.7,94.5,33.2,6.0,46.6%,32.8%,82.1%,$53.4M,$55.2M,-$1.8M
22,Ty Jerome,Memphis Grizzlies,G,+2,+3,-0,+4,+2,25.3,94.1,32.7,9.8,44.0%,36.5%,82.3%,$32.6M,$8.8M,+$23.8M
23,James Harden,Cleveland Cavaliers,G,+2,+3,-0,+1,+3,27.4,94.1,24.4,7.9,40.6%,34.3%,83.2%,$52.9M,$39.2M,+$13.7M
24,Tyrese Haliburton,Indiana Pacers,G,+2,+2,+0,+3,+2,24.1,94.6,23.0,9.6,44.5%,34.4%,83.0%,$31.3M,$45.6M,-$14.2M
25,Isaiah Hartenstein,Oklahoma City Thunder,F-C,+2,-1,+3,+3,+2,13.3,93.9,17.6,5.6,57.1%,24.1%,63.0%,$32.2M,$28.5M,+$3.7M
26,Jakob Poeltl,Toronto Raptors,C,+2,-0,+2,+2,+2,14.1,94.1,18.4,3.3,62.6%,15.9%,57.8%,$25.6M,$19.5M,+$6.1M
27,De'Aaron Fox,San Antonio Spurs,G,+2,+2,+0,+0,+2,33.1,95.1,24.2,8.3,45.1%,32.8%,74.2%,$40.0M,$37.1M,+$2.9M
28,Bam Adebayo,Miami Heat,C-F,+2,+1,+1,+1,+2,27.3,95.6,29.4,5.1,43.7%,31.4%,75.2%,$46.2M,$37.1M,+$9.1M
29,Aaron Gordon,Denver Nuggets,F,+2,+2,+0,+0,+2,23.2,94.5,23.6,4.2,47.6%,33.9%,72.8%,$39.9M,$22.8M,+$17.0M
30,Stephen Curry,Golden State Warriors,G,+2,+4,-2,+1,+2,21.8,94.4,29.4,8.4,42.9%,34.9%,90.9%,$37.6M,$59.6M,-$22.1M
31,Robert Williams III,Portland Trail Blazers,F,+2,-0,+2,+3,+1,11.0,94.6,18.1,2.9,60.1%,30.7%,61.7%,$25.6M,$13.3M,+$12.3M
32,Stephon Castle,San Antonio Spurs,G,+2,+2,+0,+1,+2,33.9,94.5,25.5,9.7,44.6%,32.5%,74.7%,$39.7M,$9.6M,+$30.2M
33,Alex Caruso,Oklahoma City Thunder,G,+2,-0,+2,+3,+2,13.6,94.3,18.2,4.2,40.6%,34.7%,78.5%,$31.3M,$18.1M,+$13.2M
34,Julian Champagnie,San Antonio Spurs,F,+2,+1,+1,+1,+2,31.0,94.6,17.7,1.9,40.8%,37.7%,82.2%,$34.4M,$3.0M,+$31.4M
35,Tyrese Maxey,Philadelphia 76ers,G,+2,+3,-1,+2,+2,27.1,94.8,29.1,7.1,44.7%,34.7%,85.6%,$53.1M,$38.0M,+$15.2M
36,Rudy Gobert,Minnesota Timberwolves,C,+2,-2,+3,+1,+2,20.6,94.6,14.0,2.5,62.6%,23.1%,54.7%,$39.8M,$35.0M,+$4.8M
37,Evan Mobley,Cleveland Cavaliers,C,+2,+1,+1,+2,+2,20.8,96.1,23.7,4.9,51.2%,30.2%,60.3%,$46.0M,$46.4M,-$0.3M
38,Jalen Duren,Detroit Pistons,C,+2,+1,+1,+1,+2,20.4,94.1,22.8,3.6,63.1%,17.8%,67.9%,$33.7M,$6.5M,+$27.2M
39,Devin Booker,Phoenix Suns,G,+2,+3,-1,+0,+2,30.0,94.2,30.4,6.9,44.1%,34.2%,84.3%,$47.3M,$53.1M,-$5.8M
40,Jimmy Butler,Golden State Warriors,G-F,+2,+1,+1,+1,+2,23.7,94.5,27.0,7.2,47.0%,30.3%,82.0%,$25.3M,$54.1M,-$28.8M
41,Cason Wallace,Oklahoma City Thunder,G,+2,+0,+1,+3,+1,14.3,94.5,16.0,4.1,42.7%,35.7%,78.8%,$27.3M,$5.8M,+$21.5M
42,Dylan Harper,San Antonio Spurs,G,+2,+1,+0,+2,+2,24.6,95.4,22.4,5.4,49.3%,34.8%,78.7%,$23.1M,$12.4M,+$10.8M
