Player,Team,Pos,Rookie Season,Career Games,Age,Est. Retirement Age,Years Remaining,+1,+2,+3,+4,+5,+6,+7,+8,+9,+10,+11,+12,+13,+14,+15
Victor Wembanyama,San Antonio Spurs,F-C,2024,267,22.4,35.4,13.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.6,96.2,96.0,93.8,77.4,66.7,66.7,66.7
Cooper Flagg,Dallas Mavericks,F,2026,82,19.3,31.2,11.9,100.0,100.0,99.2,98.3,97.5,96.3,92.1,88.9,82.3,76.5,76.5,72.3,63.2,58.7,49.7
Dylan Harper,San Antonio Spurs,G,2026,103,20.3,32.2,11.9,100.0,100.0,99.2,98.3,97.5,96.3,92.1,88.9,82.3,76.5,75.8,72.3,63.2,53.7,42.1
Shai Gilgeous-Alexander,Oklahoma City Thunder,G,2019,701,28.0,39.8,11.8,100.0,99.8,99.8,98.8,97.5,96.3,92.1,88.9,82.3,75.2,63.8,54.4,45.7,36.1,23.6
Stephon Castle,San Antonio Spurs,G,2025,185,21.6,32.7,11.1,100.0,100.0,99.2,98.3,97.5,96.3,92.1,88.9,82.3,75.2,69.5,54.4,45.7,38.7,29.5
Kon Knueppel,Charlotte Hornets,F,2026,84,20.7,31.7,11.0,100.0,100.0,99.2,98.3,96.8,94.2,92.1,87.5,82.3,72.6,63.8,54.4,45.7,38.7,29.5
Collin Murray-Boyles,Toronto Raptors,F,2026,89,20.9,31.3,10.4,100.0,99.8,99.2,97.8,96.0,94.2,88.5,81.3,76.5,69.3,63.8,54.4,45.7,36.1,27.4
VJ Edgecombe,Philadelphia 76ers,G,2026,94,20.8,31.2,10.4,100.0,99.8,99.2,97.8,95.2,91.6,88.2,80.0,70.1,69.3,63.8,54.4,45.7,34.5,27.4
Cade Cunningham,Detroit Pistons,G,2022,430,24.8,34.8,9.9,100.0,99.6,99.2,97.8,95.2,91.6,88.2,81.0,70.1,60.8,52.4,42.9,28.7,20.0,12.7
Amen Thompson,Houston Rockets,G-F,2024,260,23.5,33.2,9.8,100.0,99.6,99.2,97.8,93.8,91.6,85.5,77.9,67.3,56.0,45.5,33.6,22.6,14.0,8.6
Chet Holmgren,Oklahoma City Thunder,C-F,2023,380,24.2,34.0,9.8,100.0,99.6,99.2,97.8,95.2,91.6,85.5,78.7,68.4,57.3,45.5,33.6,23.1,14.9,10.2
Derik Queen,New Orleans Pelicans,C,2026,82,21.3,31.0,9.8,100.0,99.6,99.2,97.8,94.4,91.6,85.5,77.9,67.3,57.3,45.6,42.9,28.7,18.3,12.7
Kasparas Jakučionis,Miami Heat,G,2026,83,19.9,29.6,9.8,100.0,99.6,99.2,96.6,91.7,87.1,80.4,72.7,66.8,56.0,45.6,42.9,28.7,18.3,18.3
Scottie Barnes,Toronto Raptors,F,2022,425,25.0,34.7,9.8,99.9,99.6,99.2,97.8,93.8,91.6,85.5,77.9,67.3,56.0,45.5,29.0,20.6,14.0,8.6
Anthony Edwards,Minnesota Timberwolves,G,2021,540,25.0,34.2,9.3,99.9,99.5,99.2,96.6,91.7,87.1,85.5,77.9,67.3,56.0,45.5,29.0,20.6,14.0,8.6
Cason Wallace,Oklahoma City Thunder,G,2024,296,22.7,31.9,9.2,100.0,99.6,99.2,96.6,91.7,85.6,80.4,72.7,60.4,48.9,45.5,29.0,20.6,14.0,8.6
Cedric Coward,Memphis Grizzlies,G,2026,82,22.6,31.8,9.2,100.0,99.6,99.2,96.6,91.7,87.1,80.4,72.7,67.2,56.0,45.5,29.0,20.6,14.0,8.6
Hugo González,Boston Celtics,G,2026,89,20.2,29.5,9.2,100.0,99.6,99.2,96.6,91.2,85.2,75.4,68.4,60.4,48.9,45.5,33.6,24.4,16.7,12.7
Nikola Jokic,Denver Nuggets,C-F,2016,984,31.4,40.4,9.0,100.0,99.6,99.2,97.8,95.2,91.6,85.5,78.7,70.1,60.8,50.0,34.1,24.4,16.7,10.2
Jalen Duren,Detroit Pistons,C,2023,349,22.7,31.6,8.9,99.9,99.6,98.4,94.4,88.6,81.1,75.4,68.4,60.4,47.4,41.2,29.0,19.9,10.8,8.4
Jeremiah Fears,New Orleans Pelicans,PG,2026,82,19.5,28.4,8.9,100.0,99.6,99.2,94.4,88.6,81.1,71.7,61.1,50.4,46.5,41.2,29.0,23.1,16.7,12.7
Julian Champagnie,San Antonio Spurs,F,2023,345,24.9,33.9,8.9,99.9,99.6,99.2,96.6,91.7,87.1,80.4,72.7,58.3,46.5,33.2,23.2,16.4,10.8,6.5
Luka Doncic,Los Angeles Lakers,G,2019,710,27.4,36.1,8.7,99.9,99.6,99.2,97.8,95.2,91.6,85.5,77.9,67.2,48.9,41.2,29.0,19.9,10.8,7.2
Carter Bryant,San Antonio Spurs,F,2026,103,20.5,29.0,8.5,99.9,99.6,97.0,92.9,88.1,80.2,71.7,60.3,50.4,41.5,35.1,29.0,20.6,14.0,8.6
Donovan Clingan,Portland Trail Blazers,C,2025,171,22.4,30.9,8.5,100.0,99.6,99.2,95.1,91.2,85.2,75.4,65.5,58.3,46.5,33.2,23.5,18.3,10.8,7.2
Egor Dëmin,Brooklyn Nets,G,2026,82,20.1,28.4,8.3,99.9,99.0,95.2,90.3,85.9,79.0,70.3,58.7,48.6,40.3,33.2,25.5,20.6,14.0,8.6
Ausar Thompson,Detroit Pistons,G-F,2024,267,23.5,31.7,8.2,99.9,99.6,98.2,94.4,88.6,81.1,71.7,61.1,48.6,38.4,26.3,17.0,9.4,5.8,4.1
LaMelo Ball,Charlotte Hornets,G,2021,486,24.9,33.1,8.2,99.9,98.6,95.8,92.3,88.1,80.2,71.7,61.1,50.4,39.8,26.3,19.5,11.0,7.3,4.8
Alperen Sengun,Houston Rockets,C,2022,424,24.0,31.8,7.8,99.9,98.6,95.0,90.3,85.9,79.0,70.3,58.7,48.6,38.4,26.3,17.0,10.3,5.8,4.8
Joan Beringer,Minnesota Timberwolves,F,2026,94,19.5,27.3,7.8,99.9,98.5,94.7,88.3,79.9,70.6,62.1,56.3,43.2,38.4,31.1,23.2,19.9,14.0,8.6
Ryan Kalkbrenner,Charlotte Hornets,C,2026,84,24.2,32.0,7.8,99.9,98.6,95.0,90.3,85.9,79.0,70.3,56.3,43.2,32.4,21.4,14.1,7.5,4.9,3.0
Tyrese Maxey,Philadelphia 76ers,G,2021,537,25.7,33.4,7.7,99.9,99.0,98.2,94.4,88.6,81.1,71.7,61.1,50.4,40.3,26.3,19.5,14.5,9.2,5.1
Khaman Maluach,Phoenix Suns,C,2026,88,19.6,27.3,7.6,99.9,98.6,94.7,88.3,77.5,64.9,58.6,50.1,43.2,37.3,26.3,23.2,16.4,10.8,7.4
Evan Mobley,Cleveland Cavaliers,C,2022,457,25.1,32.6,7.5,99.9,98.6,97.0,92.9,88.1,80.2,71.7,61.1,50.4,40.3,26.3,19.5,11.0,9.0,4.8
Devin Vassell,San Antonio Spurs,G-F,2021,505,25.8,33.3,7.5,99.9,99.5,97.0,94.4,88.6,81.1,71.7,58.7,43.2,32.4,21.4,14.1,7.5,4.2,2.6
Jalen Brunson,New York Knicks,G,2019,715,29.8,37.2,7.5,99.9,99.6,99.2,94.4,88.6,81.1,70.3,56.3,43.2,31.7,19.6,10.8,6.7,4.1,2.6
OG Anunoby,New York Knicks,F,2018,818,28.9,36.4,7.5,99.9,99.3,98.2,94.4,88.6,80.2,70.3,56.3,41.9,29.1,17.7,10.8,6.7,4.0,1.4
Danny Wolf,Brooklyn Nets,F,2026,82,21.9,29.2,7.2,99.8,98.0,90.4,81.3,72.0,62.4,51.4,44.8,40.9,31.7,21.4,14.1,9.4,5.8,4.1
Yanic Konan Niederhäuser,Los Angeles Clippers,C,2026,83,23.1,30.3,7.2,99.8,98.0,90.4,82.7,72.0,64.0,55.6,50.1,40.9,31.7,21.4,14.1,7.5,4.9,3.0
Karl-Anthony Towns,New York Knicks,C-F,2016,944,30.6,37.6,7.0,99.9,99.0,98.2,92.9,88.1,79.0,62.2,50.1,37.3,22.7,16.0,10.3,5.0,2.7,1.4
De'Aaron Fox,San Antonio Spurs,G,2018,750,28.5,35.4,7.0,99.9,98.6,97.0,92.3,85.9,72.4,58.6,44.8,29.5,22.7,14.6,9.0,4.3,2.0,1.2
Donovan Mitchell,Cleveland Cavaliers,G,2018,803,29.9,36.9,7.0,99.9,98.6,95.8,91.8,85.9,72.4,58.6,49.8,35.2,22.7,14.6,9.0,5.0,2.7,1.4
Tre Johnson,Washington Wizards,G,2026,82,20.1,26.9,6.8,99.9,98.1,90.4,81.3,72.0,62.4,51.1,41.4,35.2,29.0,21.4,14.1,10.3,8.7,5.3
Brandon Miller,Charlotte Hornets,F,2024,249,23.7,30.2,6.6,99.9,98.6,94.7,85.2,77.5,64.9,54.7,41.4,31.4,22.7,14.6,9.0,5.0,3.2,1.4
Jamal Murray,Denver Nuggets,G,2017,902,29.4,35.8,6.4,99.9,98.1,95.0,88.3,77.5,64.0,51.1,37.9,26.9,17.3,10.8,5.9,2.8,2.0,0.5
Jayson Tatum,Boston Celtics,F,2018,851,28.4,34.8,6.4,99.8,98.0,95.0,88.3,79.0,64.9,51.4,41.4,29.5,22.7,14.6,9.0,5.0,2.4,1.2
Ace Bailey,Utah Jazz,G,2026,82,19.7,26.0,6.3,99.8,98.1,90.4,81.0,71.6,58.2,48.5,37.9,28.2,22.7,19.6,14.1,9.4,5.8,4.8
Will Riley,Washington Wizards,G,2026,82,20.2,26.5,6.3,99.8,98.1,90.4,81.0,71.6,58.2,48.5,37.9,28.2,22.7,19.6,14.1,9.4,5.8,4.1
Asa Newell,Atlanta Hawks,F,2026,88,20.6,26.8,6.3,98.6,95.0,87.6,78.1,63.9,49.3,42.1,36.4,28.2,22.7,18.8,14.1,7.5,5.8,4.8
