Player,Team,Season,Age,DARKO_DPM,BPM,VORP,PER
A.J. Green,Milwaukee Bucks,2024,24.0,-1.7,-2.1,0.0,10.5
A.J. Green,Milwaukee Bucks,2025,25.0,-1.3,-2.2,-0.1,9.2
A.J. Green,Milwaukee Bucks,2026,26.0,-0.5,-3.3,-0.8,9.4
AJ Griffin,Atlanta Hawks,2024,20.0,-0.6,-9.6,-0.3,1.2
AJ Johnson,Milwaukee Bucks,2025,20.0,-2.4,-4.9,0.0,10.6
AJ Johnson,Dallas Mavericks,2026,21.0,-3.1,-10.5,-0.5,4.3
AJ Lawson,Dallas Mavericks,2024,23.0,-2.0,-4.6,-0.2,11.2
AJ Lawson,Toronto Raptors,2026,25.0,-2.1,-1.0,0.1,13.4
Aaron Gordon,Denver Nuggets,2024,28.0,2.5,1.3,1.9,16.8
Aaron Gordon,Denver Nuggets,2025,29.0,2.0,1.2,1.2,17.0
Aaron Gordon,Denver Nuggets,2026,30.0,2.0,1.7,0.9,18.5
Aaron Holiday,Houston Rockets,2024,27.0,0.1,-1.5,0.2,11.5
Aaron Holiday,Houston Rockets,2025,28.0,-0.6,-0.2,0.3,12.2
Aaron Holiday,Houston Rockets,2026,29.0,-1.2,-2.4,-0.1,10.1
Aaron Nesmith,Indiana Pacers,2024,24.0,-1.1,-0.5,0.8,12.8
Aaron Nesmith,Indiana Pacers,2025,25.0,0.0,-0.5,0.4,14.6
Aaron Nesmith,Indiana Pacers,2026,26.0,-0.1,-3.4,-0.5,10.8
Aaron Wiggins,Oklahoma City Thunder,2024,25.0,-0.8,0.7,0.8,15.6
Aaron Wiggins,Oklahoma City Thunder,2025,26.0,0.5,1.1,1.4,16.1
Aaron Wiggins,Oklahoma City Thunder,2026,27.0,-0.5,-0.9,0.4,11.7
Ace Bailey,Utah Jazz,2026,19.0,-2.2,-4.4,-1.2,11.6
Adam Flagler,Oklahoma City Thunder,2025,25.0,-2.4,-10.3,-0.4,3.7
Adama Sanogo,Chicago Bulls,2025,22.0,-2.6,-2.6,0.0,15.2
Adem Bona,Philadelphia 76ers,2025,21.0,-3.2,-2.7,-0.2,16.5
Adem Bona,Philadelphia 76ers,2026,22.0,-0.4,-2.9,-0.3,12.8
Admiral Schofield,Orlando Magic,2024,26.0,-1.7,-4.9,-0.1,6.0
Adou Thiero,Los Angeles Lakers,2026,21.0,-1.8,-4.4,-0.1,10.7
Ajay Mitchell,Oklahoma City Thunder,2025,22.0,-2.5,-1.6,0.1,12.0
Ajay Mitchell,Oklahoma City Thunder,2026,23.0,0.9,1.9,1.4,16.8
Al Horford,Boston Celtics,2024,37.0,0.4,3.6,2.5,15.0
Al Horford,Boston Celtics,2025,38.0,0.7,1.2,1.3,12.9
Al Horford,Golden State Warriors,2026,39.0,-1.3,1.6,0.9,14.7
Alec Burks,Detroit Pistons,2024,32.0,0.8,-0.4,0.4,15.1
Alec Burks,Miami Heat,2025,33.0,-1.3,0.3,0.5,12.8
Aleksej Pokusevski,Oklahoma City Thunder,2024,22.0,-2.1,-9.9,-0.1,2.5
Alex Antetokounmpo,Milwaukee Bucks,2026,24.0,-1.2,5.4,0.0,28.6
Alex Caruso,Chicago Bulls,2024,29.0,1.4,2.5,2.3,14.5
Alex Caruso,Oklahoma City Thunder,2025,30.0,1.8,4.0,1.6,15.9
Alex Caruso,Oklahoma City Thunder,2026,31.0,2.0,1.9,1.0,12.8
Alex Ducas,Oklahoma City Thunder,2025,24.0,-2.2,-2.0,0.0,10.1
Alex Len,Sacramento Kings,2024,30.0,-1.1,0.2,0.2,14.7
Alex Len,Sacramento Kings,2025,31.0,0.9,0.3,0.2,13.1
Alex Morales,Orlando Magic,2026,28.0,-2.7,-16.0,-0.1,0.9
Alex Reese,Oklahoma City Thunder,2025,25.0,-2.7,19.6,0.0,53.6
Alexandre Sarr,Washington Wizards,2025,19.0,-2.6,-3.3,-0.6,12.9
Alexandre Sarr,Washington Wizards,2026,20.0,-2.1,0.7,0.9,19.4
Alijah Martin,Toronto Raptors,2026,24.0,-1.6,-4.3,-0.1,9.2
Alondes Williams,Detroit Pistons,2025,25.0,-1.6,44.1,0.0,53.4
Alperen Sengun,Houston Rockets,2024,21.0,-1.1,4.9,3.5,22.0
Alperen Sengun,Houston Rockets,2025,22.0,0.4,4.4,3.9,21.4
Alperen Sengun,Houston Rockets,2026,23.0,1.1,4.2,3.7,21.4
Amari Bailey,Charlotte Hornets,2024,19.0,-2.1,-8.3,-0.1,9.7
Amari Williams,Boston Celtics,2026,24.0,-2.8,-2.1,0.0,9.7
Amen Thompson,Houston Rockets,2024,21.0,-1.5,1.8,1.3,18.2
Amen Thompson,Houston Rockets,2025,22.0,1.8,4.1,3.4,18.7
Amen Thompson,Houston Rockets,2026,23.0,1.3,2.6,3.4,18.9
Amir Coffey,Los Angeles Clippers,2024,26.0,-2.3,-2.2,-0.1,10.0
Amir Coffey,Los Angeles Clippers,2025,27.0,-2.4,-1.7,0.1,11.2
Amir Coffey,Phoenix Suns,2026,28.0,-1.5,-5.2,-0.2,8.4
Andre Drummond,Chicago Bulls,2024,30.0,0.7,0.1,0.7,23.0
Andre Drummond,Philadelphia 76ers,2025,31.0,0.7,-3.2,-0.2,16.0
Andre Drummond,Philadelphia 76ers,2026,32.0,-1.1,-0.6,0.4,16.4
Andre Jackson Jr.,Milwaukee Bucks,2024,22.0,-1.9,-3.6,-0.2,8.5
Andre Jackson Jr.,Milwaukee Bucks,2025,23.0,-1.6,-3.4,-0.3,8.6
Andre Jackson Jr.,Milwaukee Bucks,2026,24.0,-1.5,-7.1,-0.5,6.8
Andrew Nembhard,Indiana Pacers,2024,24.0,-2.6,-2.2,-0.1,11.3
Andrew Nembhard,Indiana Pacers,2025,25.0,-1.2,-2.3,-0.1,11.7
Andrew Nembhard,Indiana Pacers,2026,26.0,-0.1,-0.8,0.6,15.7
Andrew Wiggins,Golden State Warriors,2024,28.0,1.7,-2.5,-0.3,12.7
Andrew Wiggins,Golden State Warriors,2025,29.0,-0.2,1.0,1.0,16.4
Andrew Wiggins,Miami Heat,2026,30.0,-0.5,1.2,1.7,15.1
Anfernee Simons,Portland Trail Blazers,2024,24.0,-1.3,0.2,0.8,15.9
Anfernee Simons,Portland Trail Blazers,2025,25.0,-0.6,-0.1,1.1,14.9
Anfernee Simons,Chicago Bulls,2026,26.0,-1.5,0.6,0.8,15.0
Anthony Black,Orlando Magic,2024,20.0,-1.7,-3.0,-0.3,8.4
Anthony Black,Orlando Magic,2025,21.0,-1.5,-1.9,0.0,11.6
Anthony Black,Orlando Magic,2026,22.0,0.4,-0.6,0.7,13.7
Anthony Davis,Los Angeles Lakers,2024,30.0,3.9,5.1,4.9,25.8
Anthony Davis,Los Angeles Lakers,2025,31.0,4.0,6.0,2.9,27.1
Anthony Davis,Washington Wizards,2026,32.0,1.6,2.4,0.7,21.5
Anthony Edwards,Minnesota Timberwolves,2024,22.0,2.7,3.3,3.7,19.7
Anthony Edwards,Minnesota Timberwolves,2025,23.0,3.6,4.3,4.6,20.1
Anthony Edwards,Minnesota Timberwolves,2026,24.0,3.6,4.5,3.5,21.8
Anthony Gill,Washington Wizards,2024,31.0,-2.1,-4.1,-0.3,12.1
Anthony Gill,Washington Wizards,2025,32.0,-1.5,-4.5,-0.3,10.2
Anthony Gill,Washington Wizards,2026,33.0,-1.4,-2.6,-0.2,13.4
Antonio Reeves,New Orleans Pelicans,2025,24.0,-2.1,-3.2,-0.2,11.7
Antonio Reeves,Charlotte Hornets,2026,25.0,-1.3,1.3,0.1,12.4
Ariel Hukporti,New York Knicks,2025,22.0,-3.3,-5.6,-0.2,7.6
Ariel Hukporti,New York Knicks,2026,23.0,-1.9,-2.3,0.0,11.9
Armoni Brooks,Brooklyn Nets,2024,25.0,-1.9,-5.8,-0.1,8.3
Asa Newell,Atlanta Hawks,2026,20.0,-0.6,-1.5,0.1,14.2
Ausar Thompson,Detroit Pistons,2024,21.0,-1.5,-2.2,-0.1,12.8
Ausar Thompson,Detroit Pistons,2025,22.0,-0.3,1.7,1.2,17.2
Ausar Thompson,Detroit Pistons,2026,23.0,0.8,3.1,2.4,16.2
Austin Reaves,Los Angeles Lakers,2024,25.0,0.5,0.4,1.6,15.5
Austin Reaves,Los Angeles Lakers,2025,26.0,0.6,1.9,2.6,18.1
Austin Reaves,Los Angeles Lakers,2026,27.0,1.0,2.8,2.1,20.2
Ayo Dosunmu,Chicago Bulls,2024,24.0,-1.7,-0.8,0.7,13.4
Ayo Dosunmu,Chicago Bulls,2025,25.0,-1.1,-1.6,0.1,12.8
Ayo Dosunmu,Minnesota Timberwolves,2026,26.0,-0.6,0.8,0.8,17.0
Bam Adebayo,Miami Heat,2024,26.0,1.9,2.4,2.7,19.8
Bam Adebayo,Miami Heat,2025,27.0,1.7,2.0,2.7,18.9
Bam Adebayo,Miami Heat,2026,28.0,2.1,2.0,2.4,18.7
Baylor Scheierman,Boston Celtics,2025,24.0,-2.2,-1.7,0.0,10.3
Baylor Scheierman,Boston Celtics,2026,25.0,-0.7,0.6,0.9,11.6
Ben Saraf,Brooklyn Nets,2026,19.0,-3.4,-7.3,-1.2,7.8
Ben Sheppard,Indiana Pacers,2024,22.0,-2.1,-3.4,-0.3,8.1
Ben Sheppard,Indiana Pacers,2025,23.0,-0.6,-2.0,0.0,9.2
Ben Sheppard,Indiana Pacers,2026,24.0,-1.3,-3.0,-0.4,9.7
Ben Simmons,Brooklyn Nets,2024,27.0,0.4,2.4,0.4,16.3
Ben Simmons,Brooklyn Nets,2025,28.0,0.6,-1.0,0.2,12.6
Bennedict Mathurin,Indiana Pacers,2024,21.0,-3.0,-3.4,-0.6,13.0
Bennedict Mathurin,Indiana Pacers,2025,22.0,-2.9,-2.9,-0.5,13.6
Bennedict Mathurin,Los Angeles Clippers,2026,23.0,-1.6,-2.8,-0.2,12.6
Bez Mbeng,Utah Jazz,2026,22.0,-1.5,-4.9,-0.4,10.5
Bilal Coulibaly,Washington Wizards,2024,19.0,-2.1,-4.2,-0.9,8.9
Bilal Coulibaly,Washington Wizards,2025,20.0,-2.3,-3.7,-0.8,10.8
Bilal Coulibaly,Washington Wizards,2026,21.0,-1.1,-2.1,-0.1,13.5
Bismack Biyombo,San Antonio Spurs,2026,33.0,-4.2,-5.8,-0.1,4.5
Blake Hinson,Utah Jazz,2026,26.0,-1.1,-0.6,0.1,16.5
Blake Wesley,San Antonio Spurs,2024,20.0,-2.8,-4.0,-0.4,10.1
Blake Wesley,San Antonio Spurs,2025,21.0,-2.4,-4.2,-0.4,9.9
Blake Wesley,Portland Trail Blazers,2026,22.0,-2.5,-3.6,-0.1,10.8
Boban Marjanovic,Houston Rockets,2024,35.0,-0.5,-0.3,0.0,21.1
Bobby Portis,Milwaukee Bucks,2024,28.0,0.3,-0.8,0.6,17.5
Bobby Portis,Milwaukee Bucks,2025,29.0,-0.7,0.2,0.7,17.7
Bobby Portis,Milwaukee Bucks,2026,30.0,-1.0,0.0,0.8,17.1
Bogdan Bogdanovic,Atlanta Hawks,2024,31.0,1.4,0.2,1.4,14.7
Bogdan Bogdanovic,Atlanta Hawks,2025,32.0,1.7,-4.7,-0.4,7.6
Bogdan Bogdanovic,Los Angeles Clippers,2026,33.0,-0.8,-3.1,-0.1,8.9
Bojan Bogdanovic,Detroit Pistons,2024,34.0,-2.0,-2.1,0.0,14.1
Bol Bol,Phoenix Suns,2024,24.0,-0.1,2.1,0.5,18.7
Bol Bol,Phoenix Suns,2025,25.0,0.1,0.8,0.3,18.4
Bradley Beal,Phoenix Suns,2024,30.0,1.7,0.4,1.1,16.3
Bradley Beal,Phoenix Suns,2025,31.0,0.4,-1.1,0.4,15.2
Bradley Beal,Los Angeles Clippers,2026,32.0,-1.5,-10.6,-0.3,5.1
Branden Carlson,Oklahoma City Thunder,2026,26.0,-0.8,0.8,0.4,17.7
Brandin Podziemski,Golden State Warriors,2024,20.0,-2.2,-0.1,0.9,13.0
Brandin Podziemski,Golden State Warriors,2025,21.0,-1.0,0.7,1.2,14.4
Brandin Podziemski,Golden State Warriors,2026,22.0,0.6,0.2,1.3,15.0
Brandon Boston Jr.,Los Angeles Clippers,2024,22.0,-2.4,-9.0,-0.6,8.7
Brandon Boston Jr.,New Orleans Pelicans,2025,23.0,-3.3,-2.5,-0.1,12.7
Brandon Clarke,Memphis Grizzlies,2024,27.0,1.0,1.0,0.1,18.9
Brandon Clarke,Memphis Grizzlies,2025,28.0,0.6,0.8,0.9,17.6
Brandon Clarke,Memphis Grizzlies,2026,29.0,1.1,-4.9,0.0,12.3
Brandon Ingram,New Orleans Pelicans,2024,26.0,2.3,1.2,1.7,18.2
